game_id,title,issue_count,issues
273,Dune: Awakening,2,categories: not sorted alphabetically; genres: not sorted alphabetically
274,Orcs Must Die! 3,1,categories: not sorted alphabetically
275,Spiritfarer®: Edizione Farewell,0,
276,Abyssus,1,categories: not sorted alphabetically
277,Dying Light: The Beast,0,
278,Monaco: What's Yours Is Mine,1,categories: not sorted alphabetically
279,LEGO® Star Wars™: La Saga Degli Skywalker,0,
280,Untitled Goose Game,0,
281,Operation: Tango,0,
282,Unrailed 2: Back on Track,1,categories: not sorted alphabetically
283,Tools Up!,1,categories: not sorted alphabetically
284,Biped 2,0,
285,Nobody Saves the World,1,categories: not sorted alphabetically
286,Darksiders Genesis,0,
287,Children of Morta,1,categories: not sorted alphabetically
288,Trine 5: A Clockwork Conspiracy,0,
289,Ember Knights,1,categories: not sorted alphabetically
290,CarX Drift Racing Online,0,
291,DARK SOULS II: Scholar of the First Sin,2,categories: not sorted alphabetically; genres: not sorted alphabetically
292,DOOM,2,categories: not sorted alphabetically; genres: not sorted alphabetically
293,Sniper Elite 5,0,
294,Rec Room,0,
295,Plague Inc: Evolved,0,
296,"Ranch Simulator: Build, Hunt, Farm",0,
297,ONE PIECE Bounty Rush,0,
298,Total War: WARHAMMER II,2,categories: not sorted alphabetically; genres: not sorted alphabetically
299,Abiotic Factor,2,categories: not sorted alphabetically; genres: not sorted alphabetically
300,Total War: ATTILA,2,categories: not sorted alphabetically; genres: not sorted alphabetically
301,Need for Speed Heat,2,categories: not sorted alphabetically; genres: not sorted alphabetically
302,BLEACH Brave Souls,2,categories: not sorted alphabetically; genres: not sorted alphabetically
303,"Warhammer 40,000: Gladius - Relics of War",1,categories: not sorted alphabetically
304,FIFA 22,1,categories: not sorted alphabetically
305,Kingdom Two Crowns,2,categories: not sorted alphabetically; genres: not sorted alphabetically
306,Far Cry 5,0,
307,State of Decay 2: Juggernaut Edition,2,categories: not sorted alphabetically; genres: not sorted alphabetically
308,Deadzone: Rogue,0,
309,Northgard: Definitive Edition,2,categories: not sorted alphabetically; genres: not sorted alphabetically
310,Lost Castle 2,1,categories: not sorted alphabetically
311,Farm Together 2,1,categories: not sorted alphabetically
